PCR Array Catalog #:		PAMM-032ZA-24  																												
						AVG Delta(Ct)  (Ct(GOI) - Ave Ct(HKG))					Standard Deviation					2^(-Avg.(Delta(Ct))														
ID	Unigene	Refseq	Symbol	Description	Gname	Control Group	Test Group 1	Test Group 2	Test Group 3	Test Group 4	Control Group	Test Group 1	Test Group 2	Test Group 3	Test Group 4	Control Group	Test Group 1	Test Group 2	Test Group 3	Test Group 4										
A01	Mm.1408	NM_009627	Adm	Adrenomedullin	AM	0.04	0.41	2.64	1.11	0.60	0.566355	0.396825	1.383146	1.168888	0.870153	0.974342	0.751581	0.160150	0.464902	0.662044										
A02	Mm.40740	NM_007413	Adora2b	Adenosine A2b receptor	A2BAR/A2BR/A2b/AA2BR/AI480866/AI605384	-0.21	-0.10	1.97	0.75	0.31	0.511167	0.316433	1.312771	0.604504	0.305219	1.154686	1.068806	0.256139	0.593574	0.805245										
A03	Mm.275831	NM_007438	Aldoa	"Aldolase A, fructose-bisphosphate"	Aldo-1/Aldo1	-2.97	-2.66	-3.80	-2.72	-2.84	1.353794	0.510764	0.340098	0.507568	0.972227	7.848952	6.337878	13.928809	6.577321	7.172619										
A04	Mm.196189	NM_020581	Angptl4	Angiopoietin-like 4	Arp4/Bk89/Fiaf/Hfarp/Ng27/Pgar/Pgarg/Pp1158	-1.10	-0.62	-0.63	-0.73	-0.85	0.249399	0.574961	0.458358	0.380789	0.325615	2.143547	1.532620	1.544886	1.658639	1.799380										
A05	Mm.334517	NM_001039562	Ankrd37	Ankyrin repeat domain 37	-	-0.34	-1.04	1.35	0.17	0.33	0.432435	0.162573	0.816701	0.631638	0.665808	1.265757	2.061937	0.392292	0.891929	0.798298										
A06	Mm.238343	NM_007585	Anxa2	Annexin A2	AW215814/Cal1h	-2.19	-1.51	-3.83	-2.75	-2.72	1.790240	0.746706	0.430533	0.949105	1.436164	4.555155	2.844155	14.196860	6.727171	6.611603										
A07	Mm.203	NM_009687	Apex1	Apurinic/apyrimidinic endonuclease 1	APE/Apex/HAP1/Ref-1	-1.51	-1.15	0.31	-0.57	-0.70	0.670143	0.316433	0.651281	0.776590	0.437064	2.843169	2.225300	0.809442	1.481953	1.621692										
A08	Mm.250265	NM_009709	Arnt	Aryl hydrocarbon receptor nuclear translocator	D3Ertd557e/Drnt/ESTM42/Hif1b/W08714/bHLHe2/mKIAA4051	-1.35	-1.06	-1.21	-0.86	-0.90	0.632192	0.149900	0.193046	0.243516	0.159034	2.549121	2.082043	2.313376	1.808759	1.862835										
A09	Mm.212462	NM_019864	Atr	Ataxia telangiectasia and rad3 related	-	0.90	-0.96	2.07	2.49	2.20	1.388860	0.369012	1.453054	1.115407	0.505000	0.535887	1.948009	0.238986	0.178006	0.217261										
A10	Mm.2436	NM_011498	Bhlhe40	"Basic helix-loop-helix family, member e40"	Bhlhb2/C130042M06Rik/CR8/Clast5/Dec1/Sharp2/Stra13/Stra14	0.77	0.87	0.99	1.03	0.94	0.282651	0.495913	0.846419	0.306091	0.307029	0.585402	0.548666	0.504351	0.488862	0.521233										
A11	Mm.12932	NM_007550	Blm	"Bloom syndrome, RecQ helicase-like"	-	-0.53	-0.33	1.89	0.55	0.15	0.533104	0.292780	1.444080	1.426005	0.549265	1.443929	1.255272	0.270744	0.684205	0.902814										
A12	Mm.378890	NM_009760	Bnip3	BCL2/adenovirus E1B interacting protein 3	Nip3	-2.45	-2.24	-1.20	-1.48	-1.72	0.904226	0.418055	0.677563	0.647990	0.294887	5.473638	4.717426	2.293419	2.794325	3.300078										
B01	Mm.29820	NM_009761	Bnip3l	BCL2/adenovirus E1B interacting protein 3-like	C86132/D14Ertd719e/Nip3L/Nix	-2.88	-2.80	-1.98	-1.95	-2.44	0.948174	0.273898	0.816267	0.568705	0.657495	7.387058	6.974066	3.938101	3.870446	5.445256										
B02	Mm.23811	NM_007569	Btg1	"B-cell translocation gene 1, anti-proliferative"	AI426953/AW546738	-1.51	-1.65	-1.79	-1.52	-1.52	1.027436	0.554374	0.545680	0.387933	0.588614	2.853040	3.129647	3.470155	2.862945	2.867910										
B03	Mm.283682	NM_139305	Car9	Carbonic anhydrase 9	CAIX/Ca9/MN/CA9	-1.22	-0.11	2.18	-0.14	-0.52	0.382535	0.366811	1.484015	0.973289	0.869099	2.329467	1.079228	0.221442	1.099997	1.433955										
B04	Mm.3527	NM_007635	Ccng2	Cyclin G2	-	-1.13	-0.71	0.09	-0.26	-0.57	0.610382	0.112606	0.559464	0.414276	0.244864	2.196186	1.640346	0.939523	1.199556	1.481953										
